Tweet	lang
joo apnee ucs ma cahirmani ka elections har gay pti per ticket per woe mna ban gay	Mixed
tu agar soch raha hy ye karachi walon ky liye acha kray ga to tu chutiya hy electionpakistan2018	Mixed
aa wahabb i think pmln will be back in punjab	English
ma jabar khan ko mubarkbat paish karta hun or salam karta	Roman Urdu
aleem khan ko cm nahi banna chaheye qk wo nebzada hai dr yasmeen ko cm banwana chaheye	Mixed
is tweet k bad kasirah or kadirah ne apne next serial me ali ko leading role dene ka faisla krlya	Mixed
ya meri zaat ki baat nhi ha mulk ki baat ha imran khan primeministerimrankhan	Mixed
djnoreenkhan ahadrazamir iamhamzaabbasi kubramkhan pmln supporters ki galliyun ka reply ker dete hain magr mein nae karta	Mixed
naya pakistan naya you	Mixed
mubasherlucman mubashar lucman sahib aap ki tarah k log thy yeh danial talal and many others jinhon ney ns ko jail tak ley gaey aur ab tum aur jkt fwd ch aur some others in fully try to down the earth ik inshaallah	Mixed
ubairkhaan per bhai 6 pti air 1 pmlq ki vacant b to ho jani	Mixed
mrhbacyeda786 hahaha nai pti ko diye vote hmare halqa me pmln ka umeedwaar e chawl khra tha is liye na149 main	Roman Urdu
bc kch karo aur punjab man bhi government banao pti	Mixed
dunya mn 2 tarah k ex hotay hain imrankhanforprimeminister nayapakistan welcomekingkhan jemimagoldsmith	Mixed
haroon natamam haroon natamam main pti ko support zaroor karta hoon magar bashart e k wo haq pe rahain	Mixed
mujhe wahan add kro sulah krwata hun sbki	Mixed
karachii m pti chahgayaa hai feeling pround puray pakistan m bhi chayegi pti imrankhan	Mixed
nas k27 mai nay usi manhus k halqa mai 1 friend rehta hai wo pmln ka buhat massive worker hai us nay buhat totay howay dil say bataya hai meri tow hansi nikal rahe thi us ki awaz soun kr ab pata nahe sach hai ya jhoot hai	Roman Urdu
sanabucha zara tmiz sy madam yeh ab humari pti family ka hissa ha	Mixed
pakiatan naya hai aap ka ghar tu purana hai tu yakeenan manjny parhein gy ik	Roman Urdu
khsaad rafique awaam ka faisala tu gaya hai bas ab baqi pmln bhi adyala jaye ge	Roman Urdu
begair parchi k har topic py baat wah dil jeet liya ik cheetaaa	Mixed
shinningxtar ik hunar hai jo kar gya hun me sb k dil se utar gya hun me	Roman Urdu
nayapakistan massiverigging showbaz and billo to deisal oye shaikh ul shaitan khud jeeta nai ar hmy keh rha hy half na lo	Mixed
karachi walay aqalmand hain mashallah	Roman Urdu
pti or raw agents k darmian muzakrat jari	Roman Urdu
karachi pti ki tarjihat me karachi shamil hai jo khush ayaind baat hai pti aur mqmpakistan taraqqi k partner hai	Roman Urdu
bani gala awam k tax k paise pe nahi chalta pm house chalta hai kon log hain ye	Mixed
sukkur yani na 207 say bhi pti jeti hai liken phir dubra jeet pppp ko dilwadi gei	Roman Urdu
rashkehina10 rajamuaaz2 koi kehta hai k m league ka tha koi kehta h pti ka hadd h	Roman Urdu
ha lo gi ik dor aagia he allah k nam py mil jaya kren gy	Roman Urdu
jahilo se chutkara panay k liye hi to pti ko vote dia tha	Roman Urdu
ye mere zaath ki baat nhi mere mulk ki baat hai ik rulaenge kiya ap victoryspeechofimrankhan	Mixed
tabdali aie ray pti walo enjoy	Mixed
haha hahaha tmri ya ik ki	Roman Urdu
kunwarkhalidyun true or army ne mqm pak bhoon ke khali ha muhibbewatani at its glance khalid bhai	Mixed
ik today in banigala	English
realayeshawarsi jis tarhan ki zuban pmln wale samjte hain inke lie fawad chaudhary sahi hoga	Roman Urdu
nabilgabol layarii kis ka pti ka g	Roman Urdu
mirwaizkashmir mary watan teri jannat ma aen gy ik din in sha allah	Roman Urdu
yeh itni taiz baarish ho rahi hai ya pmln supporters ke ansu hain	Mixed
ghafoorkusafzai nayapakistan welcomekingkhan good night naya pakistan imran khan wazerazam pakistan	Mixed
itni gor sy lecture agr mein sunti tu top krti jitna ik ka khataaab gor sy sun rhi hun	Mixed
imrankhanpti ka muqabla karnay k leye khandani seyasat ko khatam karna hoga nahi tu aglai election mai pti k muqablay mai koi be nahi hoga electionresults2018	Roman Urdu
waqas amjad mqm k sath bhi yahi huwa hy karachi mein	Roman Urdu
syedashehlaraza ik sy bolon ga isy azad chory or is k nasha krny pr b pabndi na lagai public property bn jao gi	Mixed
sabirshakirpk hamid mir ne kpk ko bager koi mushkil ki pmln ko dia ye sahafat nai gatia pn he	Roman Urdu
umeed ha ik ne jo wada kya hua ha qaom se ussay poora kre ga in sha allah	Roman Urdu
bhai kashmir ke chakkar mekn kayi pm ki kursi se jail ki chakki mein pahuch gaye pakistan mein abhi abhi to pm bane ho	Mixed
eimmanf adityarajkaul tujhy kyu mirchi lg rhi he hmara pakistan hy awam ny vote diy hen primeministerimrankhan ko tu yehi huga our t	Mixed
yeh bhe kya kamal ho gaya lyari mai bhutto ka intekal ho gaya electionpakistan2018 ppp pakistanelection2018 lyari karachi pti	Roman Urdu
waqas amjad taleem ki kami hai bahi jan insha allah ik a gya hai hum sab ki ik say buht umeedain hian	Roman Urdu
keh do ye sach haiiiiiiiiiiiiiiiiiiii	Roman Urdu
raiwaqar512 ashimalik088 phir to pti k liay dhandli ki ho gi pka us ny	Roman Urdu
ma loogon ma shaoor ujagar kron ga onko jagon ga aik din poori qoum mera saath kharri hooge imran khan	Roman Urdu
fida4455 farrukhhabibisf rehamkhan1 na 101 sai asim nazeer ni aye ga pti main	Roman Urdu
kash apka maqsad pti tak hi hota	Roman Urdu
pmln patwareyoon kuch suna primeministerimrankhan pti	Mixed
azlannister imran khan to lahore isme tera ghata mera kuch nahi jata	Mixed
sabirshakirpk banno wrna seat har jaie ge pti durrani jeet jaie ga	Mixed
humari baari agai yes yes yes in ko main chorunga nahin mujhe bas ek baar prime minister bananen den	Mixed
ik ko galian deni ho dil karraha ho tu oska msg mjh watsap kardia karo open acha ni lagta	Mixed
mujhey aap yeh batao k pti me pti k kitney log hain baqi tamam parties k nikal k aap ki aankhen khul jay gi yeh koi party nahi hai yeh zarorat k tehat hamari askari taqtey yeh banati hai q league hamarey samney hai kitni seats nikali hain usney yeh tamasha bund hona chahiye	Mixed
awam mein sey kisi ne nahi kaha dobara election karwao inko bolo ek kamrey mein khud hi election election khel le	Mixed
wow just wow waziristan ka fauj sey kareebi paala parha hai na punjab ko chaar gaye	Mixed
amirsha68422430 imrankhanpti ap ki bat 100 sahi hai esi liye ik ko choose kia hai wo pakistan k liye paisa jama karaye	Mixed
ptv jiski hakoomat ha usi ka hota ha	Roman Urdu
jahan jahan khota ziyada khaya gaya hai wahan tabdeeli aany me 5 saal mazeed lagain gy lahore sialkot gujranwala	Roman Urdu
ab wo pirte hai isi shehr me tanha liye dil ko ik zamany me mizaaj un ka sar e arsh bareen tha poet habib jalib	Roman Urdu
koi nai govt pti ani h in sha allah	Mixed
sumetasyed ho hi baji esay nai boltay yahi pti ki try mari hoti to aaj yun bolna parrta	Roman Urdu
bilalanjumbutt1 mubarak to you also you are pti diehard worker	Mixed
electionirregularities koi yeh samjha de k jab 2013 mein dono ganje 10 bajay haath uthaye apni jeet ka elan kar ra	Roman Urdu
har aytebaar se lag raha tha ke ek leader or waqt ka prime minister is qaum ka is mulk ka soch raha he imrankhanpti pri	Roman Urdu
kabhi itni khushi mujhe apni kisi personal accomplishment pe bhi nai hui alhamdulillah nayapakistan pakistanelections2018	Mixed
ik ki speech ny dil jeet liya i swear	Mixed
exactly 70 saal ka kachra aek din main to nae khatam ho skta	Mixed
imrankhanpti congratulations pakistan pti amp imran khan anwar ul haque chakwal	English
hahaha kalli kagrri ik not shifting to pm house	Mixed
abidifactor mqm waly b naaz o nakhry karty ha aj kal apna bhao barany k ly	Roman Urdu
munda malik shahzainbugti3 bhai mere jwp 1970 se function hy pti abhi 2000 ki dehai main bna bap dada ki party ko	Mixed
mahajir jise apna le aik bar phr dil o jaan se nibha k dikhate hain jese is br ik ka sth dia	Roman Urdu
pmln 4 pti 1 par lead thi result abhi 2 k aye hain	Mixed
lol yaa to hona hi tha	Mixed
karachi jaag gaya par lahore nai jaaga yasminrashid pmimrankhan electionpakistan2018 electionpakistan2018results	Mixed
muhabat ik kutti cheez hai khud bhi bachein dosron ko bhi bachaen shuakriya	Roman Urdu
right primeministerimrankhan	English
wuzgar sjpti da sirf samaa news wala beghairata di che da propaganda spread kawi samaa wala peshawar beauro chor	Roman Urdu
ab views qasur se pti k talib hassan se jeet gya jhang pti k candidate faisal salih hayat ko great news	Mixed
kiya paya hai main nay is sadiyon ki mohabbat say yarrro ik shaiyari ka hunar doosra jagnay ki saza khalil	Roman Urdu
shahbazsharif na248 sohailmansoor na239 or ashrafjabbar na255 ki recounting ki darkhast qadirpatel na248 ki jeet k khilaf pti ka ehtjaj	Mixed
jis tarah k jashan pti ki jeet pe manaty howy logon ko dikhaya ja raha hey afsos or sharam ki bat hey kaaaaash apny	Roman Urdu
mianiftikharhus anp ka seyasat sirf pukhthon dehshat gard sabit kar hai awor punjabi army par onko qatal kar na hai	Mixed
hum woh mulk banain jo laraeiyan khatum kerain imrankhan pti	Roman Urdu
pti jeetay tou dhandhli hoti wow	Mixed
cheema bhai ik no muqa do yar agar wo b dosro jaisa nikla tou phir dono bahi mil kr us ki watt lageyn gae ik says	Roman Urdu
pakistan k logo ko pm imran khan sy boht c umeeden hain allah un ki madad frmay or hmen bhi apny pakistan ki khatr kamkrna chahye	Roman Urdu
dr yasminrashid dr sahiba hum shrminda hain na 125 ma jahil abi b zinda hain jitna pti ny 5 saal m educate kiya hai agr us k bad b yaha k log noon lo lana chahty hain tw mam hum waqi shrminda hain magar hum khuish rkhty hain k ap cm punjab k lea strong candidate hain is pr ghor kiya jye	Mixed
sami pml n ayeshab06673689 khsaad rafique tabi kpk ky lokoo ny dubara pti ko hukomut di hy	Roman Urdu
waseembadami mqm ko sath milna hoga ussay karachi ki halat b achi hojay gi	Roman Urdu
sari partion ko hadiyan phainke gaye hain pmln ko islamabad main 70 or lahore	Roman Urdu
khsaad rafique khawja shab so jeet jaty tu phr dhandli na hoti pti jeety tu dhandli sham on you	Roman Urdu
india walon apni maa ka rishta dena hai ya apni behan ka rishta dena hai imrankhan isi ko jo itna bhonk rahay ho	Roman Urdu
shamajunejo ho jaye ga tmhary ns ki taraha galat planning ni hogi ab or na hi koi apna mufaad hoga ik ko allah ik ko salamat rakhy	Mixed
pti ko tough opposition mly gi tu acha hoga deliver kerny mai awam ko behter sahoolat mly gi shukr mukmuka ki syasat mazaq e jamhoriat khtm	Mixed
iamrajawaqar sab fake news shahid abbasi ny application di hi nai sab jhoot propaganda or kuch mei na 57 ki voter	Mixed
kapil imran khan s nayapakistan pic 1 fine leg pic 2 cover pic 3 extraaaa cover	English
ahmad cg xiaahmad1 sadaqat ali abbasi of pti is going to win na57 ia	English
waqas amjad bhai hamy pata hy bs kuac luog hy ham pti mi k wo tasub wla zihan rakty hy par achi bat ya hugi k ignore kro	Roman Urdu
mubashirzaidi yeah kisi nay tera joke uraya hay tu kab say itna acha ho gaya kay pti tujh ki invite karay gee shakal dekh apnee	Mixed
zinda bad pti krpt logon ki mot aaye	Mixed
tehreek e insaf ki jeet ki nahi achakzai ki har ki khushi hai	Roman Urdu
aj mery bhai na saal bad meri ik tweet like krdi ha mery dono bhai do czns twitter pa mojuud hain per greebo ko koi lift ni krwata	Roman Urdu
chatha555 memonamushtaq jaani dobara ginti ki drkhawast de dain ik ne bola hai jo halqa kaho ge kholain ge ecp to ns or zardari ne apni marzi k banday lga k bnaya hai	Mixed
mubashirzaidi aamirliaquat sir yae log pti ko badtamazi kae taanae daetae hn inki apni iklaaq sae giri hoe harketein daekhein	Roman Urdu
matiullahjan919 zahidgishkori sir g benefit of the doubt de dain geo ka naya naya romance hai ik k sath sab theek ho jana time k sath	Mixed
nayapakistan mein jo ambulance ko raasta na dey usko chowk pay juttiya maarni chahiye electionresults2018 primeministerimrankhan	Roman Urdu
itnii khushi to kbhi achi gpa aane p bhi nh hwe jitnii imran khan k wazeer e azam ban ne p horahy hai primeministerimran	Mixed
allah al haq hay	Roman Urdu
imran khan on tv yaar maan lo yeh banda ajayega tou kuch kr kay hi rahay ga maan lo likhwa lo angotha lagwa lo	Roman Urdu
kia main pmln mma aur ppp ko galiyaan dai sakti hun	Roman Urdu
shamajunejo wah teri explanation ink sath main pti bi likh dena tha allah apko such bolne ki tofeeq de ameen	Mixed
jawabdeyh independents are joining pti	English
aur faiz sb kehte hain na jaan e kis liye umeedwaar baitha hun ik aisi rahguzar par jo teri rahguzr hi nahi	Roman Urdu
mian saab ki zindagi may do hi captain aye 1 ik bachi lay gaya 2 dosra kursi electionpakistan2018results imrankhanprimeminister	Roman Urdu
ager pti aleem khan and fawad ch main say hi koi ek cm punjab lana chahti hay tou mera khayal hay k fawad ch is more suitable candidate	Mixed
muje to ya nai samjh aa rhi k dusron k itny voter kahan se aye jis se pucho wohi pti ka voter hai	Roman Urdu
maonbillii as said by hassan nisar last night ik should say lay ayo 30 arab aur aa jao maidan mein karwatay hai	Mixed
kpk me pti ko jitni seats mili he esa pti ne khwab me bhi na socha ho ga raheeem ullah yiousaf zai	Mixed
anpmarkaz sub kuch k bawajood anp 70 votes say aagay thi	Mixed
bander78 agar pmln ny 10 years ma police ko nonpolitics rakha hota tu aisa nahi hota jani	Mixed
nausheenyusuf he gave tough time to pmln yeh sb yaad rahay ga cjp sb	Mixed
bhaiya aaap bohat rotay hoo	Roman Urdu
matiullah jan saheb well done buhat deep ja kar aap ney yeh noqta pkrrah hai excellent sir ji	Mixed
nasir62545157 tariqhabib1 hamza shehbaz sharif146294 nauman qaiserpakistan pti 80981 muhammad afzal mma 3572 asim irshad khan	Roman Urdu
electionresults2018 electionpakistan2018 nayapakistan noon league ko malsa azad akram ka nai hai masla ye h	Roman Urdu
pighal na nahi h sakhti barkarar rakhni h nayapakistan me bi	Roman Urdu
ik aur qadam burha phir sy wo lamha dohra imrankhanpti	Roman Urdu
acha to ub pti jeet gayi hy to iska kia matlab hy sab paap dhul gaye hain	Roman Urdu
sab ko mobarak ho pti nayapakistan primeministerimrankhan	Roman Urdu
kirankhanpti1 duajutt357 shah mehmod corrupt nahen lekin jut jelis bahut ziyada hai kisi ke kaam na anewala apna mufad sochnaye wala	Mixed
nausheenyusuf hinaparvezbutt aagy aagy dakho ota hy kya aj sham jo kuch hua yaz sadiq shb	Roman Urdu
nayapakistan or gayapakistan	Mixed
dekho dekho kon aya primeministerimrankhan pakistan ki aan hain aap pakistan ki shaan hain aap pakistan ki pehchan hai aap	Mixed
for all pmln friends please don t ask again imran khan nay kpk may kia kar lia	Mixed
ansaraabbasi aap ko tou kiya kaho sir jo harqataain ik ne ki wo kon sa imaaan hai ikhlaas hai	Roman Urdu
ya aik ba akhlaq shakhs hi kar sakta ha imrankhan pti absirfimrankhan absirfimrankhanballaypenishan imrankhan	Roman Urdu
jao pani piyo or jalna plus kurrna kam kro	Roman Urdu
in sha allah punjab me b pti ki governmnt hogi	Mixed
woh aajkal twitter p nazar nahi aareha chuha yasser hamdani lateef jo ik k khilaaf bakwas kerta rehta tha w	Roman Urdu
umeed hai hum b dekhy gy nayapakistan	Roman Urdu
mubaraaak sherrrr ik wari punjab wich fareee	Roman Urdu
aisi baat hae tou pti kaafi seats say jeeti hain wahan bhe almost aisay he hae	Mixed
krazasyed raufmeharisi jigers2 farhankvirk daikh laitay hain filhal tu 8 ki 8 seats pay recounting main haar chuki hai pti	Roman Urdu
alirazatweets ali ik ne oath kb lena ha	Mixed
ap itne batein kr rhi hn jb se ap btadn kya sindh se pti ne marit pe seats li hn khi s ek dum itni seats le skti	Mixed
mubarak ho naya pakisatan zindabad wazireazamimrankhan	Roman Urdu
gulbukhari inko dhandli wahan nazar aati hai jahan pmln haar rahi ho	Roman Urdu
this time also mai samjha ab shaid inn logo ko ye jumla kehtay sharam aati ho gi per nhi	Mixed
itni izzat kafi hai vote ko ya thori aur day dain patwarion electionresults	Mixed
cm must be like haaye mera bachhha tu badaa ho ke kejriwal banega imrankhanspeech	Mixed
fawadchaudhry pakistani awm ko or pti walon ko imran khan jesa leader mila mubaraken	Mixed
online amna pti ki or shareef	Roman Urdu
fawadahmad1313 dunyanews ptiofficial pmln org cmshehbaz hahahahaha acha to ab bi wahi ho rha or pti yehi keht	Roman Urdu
personal request plz sir imrankhanpti ab ap in choron ki baton mai na ana ap ko khuda ka wastaa coz buhat sy p	Mixed
voteforik alirazatweets jutt grp ki waja se ni khakwani ki waja se ik keliye ye nazir jutt ko mana ni skta tha ja	Roman Urdu
meri ward me 381 ki lead or pp 83 ki jeet pe allah paak ka shukar or ghulam rasool sangha ko mubarak bad	Mixed
fraud elections ne rasham banaya ha ab pakistan ki lubricant laga k maray ga tou pata chaley ga tum pakistani bay zameer brainless people aaj kal dallay tumaray hero hain ik chootia ne sari omar yahudi bhudoin k kamai khaye lakh lanat ha aise chootia per it s all hira mandi	Mixed
waseembadami pti 116 pmnl 63 ppp 38 ind 15 mqm 8 mma12 total 136 seats kya yeh sab mile k hakomat bna saktay hai	Mixed
pmln walon ko jahil khe do to foran hi jahil hone ka saboot bhi dedete hain	Roman Urdu
psppakistan pmln org officialmqm anp mma aur pmp ka ptiofficial ne pakistan se safaya kardiya hain	Roman Urdu
pmln zindabad struggle is on roshan pakistan	Mixed
main ro nahi raha sath waalay ghar main pyaaz kat rahay hain	Roman Urdu
ab smjh nhi aa raha independence day 14august ko manao ya 25july ko nayapakistan	Mixed
karachi ppp ka 40 saal bad lyari se safaya na 246 se pti k shakoor shad kamyab bilawal ko shikast ps 107 se pti fateh mqm azizabad me har gai	Roman Urdu
lgta h jahangir khaan tareen sary bdly lyga pti	Roman Urdu
wesay hyderabad ki dono seats jeet gae hy mqm	Mixed
thought of the day koi bta skta ha pti ki govt ma sarkaari channel ptv ho ga ya ary shukriya	Mixed
nayapakistan imrankhan mubark ho	Roman Urdu
fiaz ul hassan chauhan hai yeh ager hai tou muraad saeed k saath dangal kraana hai iska	Roman Urdu
aj jab vote ko izzat mil gai hai to ye rona dhona kyun electionresults2018	Mixed
junobi waziristan pti workars aj subh 8 bajay fc ground tank pohnchain voton ki dobara ginti aur dhandli k khilaf ahtejaj hoga pti	Roman Urdu
khsaad rafique dobara imrankhan ke sath match kelogy	Roman Urdu
is pti ur party nahi na tu chup karay aur england me baqi life guzaray	Mixed
yar mera talooq kpk sa ha ma us bandy ko pashtoon nahy manta jo banda anp jesy ghadar ko support karty ha	Mixed
breaking na 51 sarkari nataij mufti abdu shakoor mma 21896 vote kamyab qaisar jamal pti 18679 vote dusry numbr pr nakaam	Mixed
han bhai bhokne walo kesa dia d d d imrankhan abhi aya nai to ye hogya	Roman Urdu
officialdgispr oey tum apni bakwas band kro jahan say pmln ny win kiya wahan kon ap k abu thy wo bhi yehi thay	Mixed
2 sarko per kush hone wale khan ko us k waday yad dila rae hai electionresults2018	Roman Urdu
itne arse baad itni achi speech suni hai wo bhi urdu mae nayapakistan imrankhan	Mixed
pm modi spoke to pak s imrankhan this time modi didn t do a mannkibaat but did a aman ki baat amankiasha	Mixed
punjab assembly k 15 azad arkan ka pti me shamoliat ka elan bani gala me aj imran k se milenge naya pak naya qimat sony k qimat me 1200kami	Roman Urdu
punjab punjab hamara hi or hamara hi rahay ga inshallah pmln	Roman Urdu
yeh bt un patwario k liye jo br br bol rae eh k imran ko army ne jetwaya eh toh suno yeh humra pakistan eh agr aj	Roman Urdu
mqm k aaj k halat ki waja wazarto k lye hukomato me shamoliat he voters k etimad ki bahali k liye soch samajh k fesla kare khursheed shah	Mixed
abidifactor army ne dhandli nahi ki army thi tu dhandli nahi hui tum log is result ko nahi maan kar itna sabit kar rahay ho k tumhe fauj par bharosa nahi aaj tumhara asli roop karachi ne dekh lia main ne sab ko pehle hi kaha tha mqm waqai ghaddar hain	Mixed
aabasi sahib abhi to sub drama shuro howa hai aagey aagey dekhiye hota hai kia ye ik disroo sy double dramy baaz saray	Roman Urdu
imran sanju kar haar maiden fateh electionpakistan2018 imrankhanpti imrankhanprimeminister sanju	Mixed
tu bi chutiya hi hy tera baap bhi mqm ka supporter hi hoga	Mixed
lameboredghini doctor ye saari dawaiyaan kal subah tk kha lena umar saari doctor umar hmm umar mrr mrr k jee liye doctor	Roman Urdu
sindh assembly ki nashiston me ppp 74 pti 18 mqm pak 12 gda 11 tlp 3 pml n 1 par kamyab karachi me qaumi asembly ki 12 seats pr pti kamyab	Mixed
jahangirktareen acting as circuit of munna bhai bhai tu hakoomat bna apun azaad umeedwaroon ki line laga dy ga	Mixed
allah naye pakistan ko apny hifz o aman me rakhy electionpakistan2018	Mixed
mujhy ik ki khushi nai ns jesy darindo sy nejaat ki hai	Roman Urdu
us raat pmln supporter 2 baje tak peeya	Roman Urdu
waseembadami aysa hi krna chahye pti ko	Roman Urdu
imran khan is the next prime minister of pakistan absirfimrankhan	English
isiliye kehti thi imrankhanpti mat do itni importance lahore ko bewafa hote hen hen yeh	Mixed
bas itni si khawish ha imran khan wazirazam ho pakistani paspor ki izzat ho mehgai kam or petrol 50 rupe litter ho 4 5 gariyan or iphonex ho bas sakoon sa sara din beth k patwariyon ki class lon masomlondykikhawish nayapakistan electionresults2018	Mixed
nayapakistanmubarak accept it or not tabdeeli agai hai aur koi dhandli nahi hui also i m not a pti member just a pakistani	Mixed
kisi pmln wale se poch lo un k liye purana ha	Roman Urdu
abidifactor abidi sb mqm pe hamesha se ilzam laga hai k wo govt ke bagair nhi chal sakti ab ye ilzaam galat sabit ker den aap ka mandate to pti ko mil gya hai yani k aap logo ke ghar chori kerwayi gai or phir mqm ne ussi daku k sath ittehad ker liya bt	Mixed
bori bister taiyaar rakho	Roman Urdu
looks like i ll be moving back to pakistan nayapakistan imrankhanpm	Mixed
zinniamalik1 aleemkhan pti kuch to balance rakhna tha na sab seats pti ko de dete to confirm hojata k dhandli hui	Mixed
na242 ps99 ps100 ji ki tarf sy pti ko jeet ki mubbark baad electionresults2018	Roman Urdu
election main jeet k baad pti ko neechay bataay gaay kam forun karnay hongay keh awam ko aitmad k baad mazi jaisee mausi na ho	Roman Urdu
dubara ginti mein pti haar 6 hlqo pr harnai ka sabut saaf intikhabat ki nishani	Roman Urdu
yar koi new bat ker do bhai primeministerimrankhan	Mixed
wahaz muhamadjsafdar imrankhanpti go imran go to hell nayapakistan go imran go imrankhanprimeminister go to hell	English
aur phr hindustan and pause ab india ki dhulai honay wali hy primeministerimrankhan	Mixed
nahi bhai hum waqai mei mqm ke haramipan se bohat pareshan hogaye thay	Roman Urdu
gfarooqi kia pti 137 seats puri kr lae gi	Mixed
pmln supporters sirf mujhe nazar nahi aa rahy ya phir social media ka boycott kr diya primeministerimrankhan	Mixed
allah bara be niaz ha jo ro ro imrankhan ka nara laga rae te aaj khud roads pr ro rahe	Roman Urdu
tamaam sukh ik taraf or amir liaquat ka mna banne ka dukh ik taraf amirliaqat plzno	Mixed
shukr he irshad bhatti sb ap ko bi pti me koi khami nazr aye	Roman Urdu
jnab na 90 bi dobara ginti me pmln kamyab	Roman Urdu
na239 result kyun rok diya yahan ppp lead kr rahi this undrone khana pti ko dene ka imkan hamara vote to zaya gaya	Mixed
rehamkhan1 ap 200 books b or likh lai to ik ki ezat pe koi fark nahi perta wo jhote b bole to log such smjhte hai	Mixed
pher madam sub se ziyada lanay tu ik py ha us nay amir liaqat ko seat di or jeetwaya khalai makhlooq by bolo sahi kaha ya ghlat	Roman Urdu
punjabi becharey to dimagi tawazun hi kho bethy hn	Roman Urdu
saniakhanhyat kisi or ko bhi rahny dana hy k nai pti valon ny	Roman Urdu
inshallah pmln panjab minister shebaz sharif	Mixed
sadafhina7 y jalsa ho raha tha pti ka	Roman Urdu
pari cious pti ka bagair in chaudries ka hal b nisar jasa he howa tha last time	Roman Urdu
in sha allah in sha allah nayaaa pakistaaan pakistanzindabad nayapakistan allthebestkhan	Mixed
naya pakistan to bohor acha hoga inshallah ns ne jo bigara hai ik sudaare ga	Roman Urdu
peerni kam dikha gye pti ik	Roman Urdu
agar larki pti ki ho aur larka pmln ka to kya unka nikaah hosakta hai nayapakistan	Roman Urdu
inn sha allah punjab b pti ka hi ho ga	Roman Urdu
